IP地址,端口,TLS,数据中心,源IP位置,地区,城市,地区(中文),国家,城市(中文),国旗,网络延迟,下载速度
185.148.106.47,2096,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,170 ms,3983 kB/s
57.129.63.53,8443,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,168 ms,3979 kB/s
89.208.97.78,2053,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,248 ms,3968 kB/s
185.221.198.219,2053,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,255 ms,3965 kB/s
213.21.241.195,443,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,254 ms,3959 kB/s
172.66.133.29,2087,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,164 ms,3956 kB/s
172.66.130.168,443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,202 ms,3950 kB/s
172.66.130.118,2083,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,174 ms,3949 kB/s
172.66.132.145,443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,184 ms,3931 kB/s
185.82.127.6,2053,true,RIX,LV,Europe,Riga,欧洲,拉脱维亚,里加,🇱🇻,218 ms,3928 kB/s
49.238.237.132,2087,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,174 ms,3928 kB/s
45.32.95.145,2083,true,LAX,US,North America,Los Angeles,北美洲,美国,洛杉矶,🇺🇸,183 ms,3903 kB/s
141.94.222.46,2053,true,CDG,FR,Europe,Paris,欧洲,法国,巴黎,🇫🇷,191 ms,3899 kB/s
147.45.197.233,2053,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,249 ms,3896 kB/s
188.165.2.84,8443,true,CDG,FR,Europe,Paris,欧洲,法国,巴黎,🇫🇷,187 ms,3894 kB/s
51.38.48.190,2053,true,CDG,FR,Europe,Paris,欧洲,法国,巴黎,🇫🇷,193 ms,3894 kB/s
95.182.97.125,8443,true,CDG,FR,Europe,Paris,欧洲,法国,巴黎,🇫🇷,194 ms,3893 kB/s
172.66.131.53,2053,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,180 ms,3891 kB/s
172.66.129.48,443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,178 ms,3890 kB/s
172.66.130.240,2053,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,169 ms,3887 kB/s
185.82.126.217,2053,true,RIX,LV,Europe,Riga,欧洲,拉脱维亚,里加,🇱🇻,230 ms,3878 kB/s
192.0.54.31,2053,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,171 ms,3877 kB/s
185.207.133.248,443,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,264 ms,3875 kB/s
194.246.81.62,2053,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,289 ms,3861 kB/s
147.185.161.78,2096,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,169 ms,3859 kB/s
172.66.131.30,2053,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,177 ms,3852 kB/s
49.238.237.31,2087,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,172 ms,3849 kB/s
188.132.129.102,2053,true,IST,TR,Europe,Istanbul,欧洲,土耳其,伊斯坦布尔,🇹🇷,303 ms,3843 kB/s
45.155.7.232,8443,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,235 ms,3834 kB/s
85.192.63.123,2053,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,298 ms,3829 kB/s
141.193.213.21,8443,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,188 ms,3814 kB/s
172.66.131.221,2087,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,181 ms,3808 kB/s
93.185.163.197,4001,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,173 ms,3808 kB/s
150.241.108.151,443,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,255 ms,3808 kB/s
5.45.86.186,443,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,184 ms,3806 kB/s
172.66.134.54,2087,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,178 ms,3801 kB/s
141.94.207.218,8443,true,CDG,FR,Europe,Paris,欧洲,法国,巴黎,🇫🇷,179 ms,3797 kB/s
194.58.33.237,443,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,257 ms,3792 kB/s
93.183.88.235,2053,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,261 ms,3783 kB/s
45.144.28.45,8443,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,195 ms,3782 kB/s
57.129.63.123,8443,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,197 ms,3777 kB/s
185.193.28.31,2087,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,182 ms,3768 kB/s
51.75.67.84,8443,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,169 ms,3764 kB/s
195.200.17.21,2053,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,248 ms,3762 kB/s
5.178.106.104,2053,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,175 ms,3760 kB/s
51.195.100.92,2053,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,188 ms,3757 kB/s
147.78.140.217,2096,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,169 ms,3752 kB/s
49.238.237.60,443,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,173 ms,3749 kB/s
185.14.30.166,8443,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,220 ms,3748 kB/s
172.66.131.229,2083,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,170 ms,3739 kB/s
46.8.228.185,443,true,ARN,FI,Europe,Stockholm,欧洲,瑞典,斯德哥尔摩,🇸🇪,207 ms,3733 kB/s
172.66.129.148,2083,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,180 ms,3732 kB/s
103.251.164.122,443,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,231 ms,3730 kB/s
194.164.34.10,8443,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,298 ms,3725 kB/s
212.34.153.114,8443,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,290 ms,3719 kB/s
188.130.154.231,2053,true,ARN,FI,Europe,Stockholm,欧洲,瑞典,斯德哥尔摩,🇸🇪,204 ms,3717 kB/s
172.66.131.64,443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,181 ms,3712 kB/s
172.66.128.93,443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,304 ms,3702 kB/s
5.61.42.254,8443,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,285 ms,3690 kB/s
172.66.135.158,2096,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,174 ms,3688 kB/s
212.34.146.229,2053,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,256 ms,3671 kB/s
109.120.177.101,8082,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,254 ms,3656 kB/s
138.197.152.31,2053,true,YYZ,CA,North America,Toronto,北美洲,加拿大,多伦多,🇨🇦,253 ms,3634 kB/s
172.66.129.153,2087,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,185 ms,3628 kB/s
172.66.131.227,2087,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,171 ms,3624 kB/s
80.66.87.223,8443,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,253 ms,3623 kB/s
172.66.131.37,2087,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,172 ms,3620 kB/s
104.234.50.115,2053,true,IAD,US,North America,Ashburn,北美洲,美国,阿什本,🇺🇸,268 ms,3604 kB/s
51.89.23.69,2053,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,177 ms,3600 kB/s
172.66.130.118,2096,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,176 ms,3598 kB/s
141.94.221.79,2053,true,CDG,FR,Europe,Paris,欧洲,法国,巴黎,🇫🇷,197 ms,3591 kB/s
172.66.131.218,2053,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,192 ms,3588 kB/s
172.66.131.225,2053,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,182 ms,3587 kB/s
94.23.144.99,8443,true,CDG,FR,Europe,Paris,欧洲,法国,巴黎,🇫🇷,179 ms,3578 kB/s
45.12.69.56,443,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,258 ms,3559 kB/s
51.178.83.50,2053,true,FRA,FR,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,190 ms,3550 kB/s
49.238.237.91,2096,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,183 ms,3549 kB/s
172.66.132.120,2083,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,183 ms,3543 kB/s
172.66.128.158,2053,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,168 ms,3542 kB/s
185.154.15.154,2053,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,261 ms,3541 kB/s
172.66.131.51,2053,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,181 ms,3529 kB/s
223.131.123.52,12312,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,91 ms,3522 kB/s
212.34.132.122,443,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,251 ms,3518 kB/s
150.241.105.109,443,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,260 ms,3502 kB/s
51.38.48.174,8443,true,CDG,FR,Europe,Paris,欧洲,法国,巴黎,🇫🇷,186 ms,3497 kB/s
172.66.133.99,2087,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,187 ms,3496 kB/s
31.220.42.149,2053,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,230 ms,3495 kB/s
212.34.147.12,2053,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,285 ms,3487 kB/s
194.164.34.222,2053,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,291 ms,3485 kB/s
94.131.100.225,2053,true,ARN,FI,Europe,Stockholm,欧洲,瑞典,斯德哥尔摩,🇸🇪,197 ms,3481 kB/s
94.177.8.31,444,true,VIE,AT,Europe,Vienna,欧洲,奥地利,维也纳,🇦🇹,266 ms,3480 kB/s
77.238.252.59,2053,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,292 ms,3473 kB/s
5.61.47.241,443,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,294 ms,3467 kB/s
59.3.3.161,8443,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,111 ms,3462 kB/s
49.238.237.62,2053,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,183 ms,3458 kB/s
150.241.105.232,443,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,262 ms,3457 kB/s
94.177.8.4,131,true,VIE,AT,Europe,Vienna,欧洲,奥地利,维也纳,🇦🇹,268 ms,3454 kB/s
188.132.192.190,2053,true,IST,TR,Europe,Istanbul,欧洲,土耳其,伊斯坦布尔,🇹🇷,232 ms,3446 kB/s
172.206.209.177,443,true,IAD,US,North America,Ashburn,北美洲,美国,阿什本,🇺🇸,305 ms,3437 kB/s
185.125.103.62,8082,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,257 ms,3436 kB/s
107.172.137.69,8443,true,YYZ,US,North America,Toronto,北美洲,加拿大,多伦多,🇨🇦,252 ms,3435 kB/s
49.238.237.31,2096,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,171 ms,3433 kB/s
134.195.211.207,443,true,LAX,US,North America,Los Angeles,北美洲,美国,洛杉矶,🇺🇸,196 ms,3433 kB/s
172.66.130.63,8443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,160 ms,3432 kB/s
172.66.131.77,2053,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,185 ms,3431 kB/s
5.255.102.201,8443,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,230 ms,3428 kB/s
199.119.137.77,2053,true,EWR,US,North America,Newark,北美洲,美国,纽瓦克,🇺🇸,246 ms,3428 kB/s
172.66.128.93,2087,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,178 ms,3416 kB/s
49.238.238.132,2087,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,171 ms,3405 kB/s
94.177.8.21,443,true,VIE,AT,Europe,Vienna,欧洲,奥地利,维也纳,🇦🇹,259 ms,3405 kB/s
49.238.239.17,2087,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,179 ms,3403 kB/s
176.124.221.131,2053,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,248 ms,3395 kB/s
94.23.164.46,8443,true,CDG,FR,Europe,Paris,欧洲,法国,巴黎,🇫🇷,201 ms,3392 kB/s
172.66.133.143,2087,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,172 ms,3389 kB/s
51.210.150.65,8443,true,CDG,FR,Europe,Paris,欧洲,法国,巴黎,🇫🇷,183 ms,3384 kB/s
172.66.136.108,2096,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,179 ms,3371 kB/s
49.238.238.51,8443,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,189 ms,3366 kB/s
195.200.31.32,443,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,285 ms,3366 kB/s
49.238.238.51,2083,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,179 ms,3365 kB/s
93.185.163.220,5001,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,222 ms,3356 kB/s
89.208.113.120,8082,true,FRA,FR,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,297 ms,3355 kB/s
203.98.67.74,2053,true,VIE,AT,Europe,Vienna,欧洲,奥地利,维也纳,🇦🇹,261 ms,3346 kB/s
147.45.197.233,8443,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,253 ms,3345 kB/s
37.27.2.162,443,true,HEL,FI,Europe,Helsinki,欧洲,芬兰,赫尔辛基,🇫🇮,192 ms,3341 kB/s
172.66.128.184,443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,174 ms,3340 kB/s
172.66.129.57,2096,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,195 ms,3333 kB/s
49.238.238.170,2087,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,168 ms,3330 kB/s
172.66.130.177,2087,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,183 ms,3330 kB/s
172.66.130.112,2083,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,183 ms,3323 kB/s
194.120.116.43,8443,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,232 ms,3317 kB/s
93.185.163.170,8104,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,228 ms,3314 kB/s
148.135.59.166,22103,true,LAX,US,North America,Los Angeles,北美洲,美国,洛杉矶,🇺🇸,201 ms,3313 kB/s
172.66.130.213,2087,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,190 ms,3308 kB/s
195.200.18.232,8443,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,292 ms,3306 kB/s
51.158.205.159,2053,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,164 ms,3301 kB/s
93.185.163.220,2003,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,220 ms,3291 kB/s
172.66.132.41,8443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,186 ms,3288 kB/s
103.97.88.73,2053,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,221 ms,3285 kB/s
172.66.131.227,443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,174 ms,3281 kB/s
172.66.131.223,2053,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,176 ms,3277 kB/s
23.164.240.39,8443,true,ARN,FI,Europe,Stockholm,欧洲,瑞典,斯德哥尔摩,🇸🇪,252 ms,3276 kB/s
109.237.97.197,8443,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,258 ms,3267 kB/s
178.33.161.196,8443,true,CDG,FR,Europe,Paris,欧洲,法国,巴黎,🇫🇷,196 ms,3259 kB/s
172.66.129.69,2096,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,175 ms,3252 kB/s
185.174.137.201,2053,true,ARN,FI,Europe,Stockholm,欧洲,瑞典,斯德哥尔摩,🇸🇪,294 ms,3252 kB/s
213.21.241.85,443,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,262 ms,3249 kB/s
147.45.40.200,2053,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,248 ms,3248 kB/s
195.200.19.168,443,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,293 ms,3247 kB/s
51.38.49.201,8443,true,CDG,FR,Europe,Paris,欧洲,法国,巴黎,🇫🇷,171 ms,3246 kB/s
45.67.34.74,2053,true,OTP,RO,Europe,Bucharest,欧洲,罗马尼亚,布加勒斯特,🇷🇴,200 ms,3235 kB/s
5.255.118.176,443,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,225 ms,3234 kB/s
5.34.211.35,443,true,VNO,LV,Europe,Vilnius,欧洲,立陶宛,维尔纽斯,🇱🇹,264 ms,3231 kB/s
23.137.248.122,8443,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,227 ms,3228 kB/s
49.238.238.145,2087,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,185 ms,3221 kB/s
172.66.130.56,2087,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,198 ms,3210 kB/s
172.66.130.33,2083,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,181 ms,3208 kB/s
5.252.118.68,2053,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,251 ms,3206 kB/s
94.247.42.207,443,true,ZRH,CH,Europe,Zurich,欧洲,瑞士,苏黎世,🇨🇭,274 ms,3201 kB/s
49.238.238.163,2096,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,180 ms,3197 kB/s
49.238.237.11,2096,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,174 ms,3194 kB/s
94.177.8.40,443,true,VIE,AT,Europe,Vienna,欧洲,奥地利,维也纳,🇦🇹,265 ms,3192 kB/s
91.84.101.160,443,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,300 ms,3191 kB/s
45.144.48.64,8443,true,WAW,PL,Europe,Warsaw,欧洲,波兰,华沙,🇵🇱,269 ms,3190 kB/s
172.66.130.63,2083,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,165 ms,3190 kB/s
95.164.87.35,8443,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,208 ms,3188 kB/s
150.241.108.112,443,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,255 ms,3186 kB/s
78.153.136.26,8443,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,321 ms,3179 kB/s
172.66.128.161,2087,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,198 ms,3170 kB/s
172.66.131.51,2096,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,178 ms,3162 kB/s
172.66.136.108,2087,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,180 ms,3159 kB/s
217.30.10.55,2053,true,WAW,PL,Europe,Warsaw,欧洲,波兰,华沙,🇵🇱,271 ms,3151 kB/s
94.142.138.192,8443,true,ARN,FI,Europe,Stockholm,欧洲,瑞典,斯德哥尔摩,🇸🇪,320 ms,3134 kB/s
220.125.55.47,16012,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,161 ms,3134 kB/s
172.66.133.29,2053,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,177 ms,3132 kB/s
38.180.68.81,443,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,197 ms,3129 kB/s
141.94.77.169,8443,true,CDG,FR,Europe,Paris,欧洲,法国,巴黎,🇫🇷,180 ms,3124 kB/s
185.128.104.96,8082,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,246 ms,3115 kB/s
49.238.239.15,2087,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,172 ms,3114 kB/s
172.66.131.27,2053,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,160 ms,3110 kB/s
89.208.103.81,2053,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,253 ms,3104 kB/s
159.65.122.67,8443,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,270 ms,3099 kB/s
195.201.99.158,4443,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,185 ms,3098 kB/s
5.252.25.44,8443,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,188 ms,3096 kB/s
51.195.42.9,8443,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,191 ms,3095 kB/s
185.174.137.19,443,true,FRA,FI,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,327 ms,3093 kB/s
162.19.252.222,8443,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,186 ms,3092 kB/s
148.135.106.200,443,true,LAX,US,North America,Los Angeles,北美洲,美国,洛杉矶,🇺🇸,194 ms,3091 kB/s
62.60.149.186,8443,true,ARN,SE,Europe,Stockholm,欧洲,瑞典,斯德哥尔摩,🇸🇪,306 ms,3087 kB/s
138.197.191.77,8443,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,257 ms,3080 kB/s
172.66.132.84,443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,189 ms,3077 kB/s
172.66.131.33,2053,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,186 ms,3075 kB/s
46.253.4.147,2053,true,ARN,SE,Europe,Stockholm,欧洲,瑞典,斯德哥尔摩,🇸🇪,306 ms,3068 kB/s
172.66.130.114,2083,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,174 ms,3066 kB/s
136.244.102.3,2053,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,251 ms,3058 kB/s
172.66.128.128,443,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,200 ms,3052 kB/s
172.66.131.196,2096,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,181 ms,3050 kB/s
172.66.128.159,2096,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,189 ms,3047 kB/s
172.66.129.176,2096,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,186 ms,3044 kB/s
89.110.125.232,8443,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,253 ms,3042 kB/s
172.86.68.95,2053,true,MUC,DE,Europe,Munich,欧洲,德国,慕尼黑,🇩🇪,182 ms,3039 kB/s
206.237.17.226,443,true,HKG,HK,Asia Pacific,Hong Kong,亚洲,香港,香港,🇭🇰,56 ms,3038 kB/s
212.34.148.102,443,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,291 ms,3036 kB/s
185.14.30.166,2053,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,228 ms,3033 kB/s
89.168.68.57,8443,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,172 ms,3031 kB/s
62.60.152.184,443,true,FRA,SE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,224 ms,3023 kB/s
172.66.129.173,2053,true,FRA,CN,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,196 ms,3018 kB/s
195.200.18.171,8443,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,288 ms,3014 kB/s
49.238.237.171,2087,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,178 ms,3010 kB/s
194.9.6.73,555,true,FRA,DE,Europe,Frankfurt,欧洲,德国,法兰克福,🇩🇪,178 ms,3009 kB/s
49.238.238.51,2096,true,SJC,CN,North America,San Jose,北美洲,美国,圣何塞,🇺🇸,169 ms,3008 kB/s
185.94.167.62,8443,true,ARN,FI,Europe,Stockholm,欧洲,瑞典,斯德哥尔摩,🇸🇪,208 ms,3007 kB/s
95.216.215.126,2053,true,HEL,FI,Europe,Helsinki,欧洲,芬兰,赫尔辛基,🇫🇮,202 ms,3000 kB/s
194.0.194.71,2053,true,AMS,NL,Europe,Amsterdam,欧洲,荷兰,阿姆斯特丹,🇳🇱,220 ms,2999 kB/s
